x,y,z
-65,-53,38
-49,-51,29
-41,-51,32
-31,-52,36
-33,-51,29
-36,-39,19
-48,-34,15
-15,-22,21
-29,-30,9
-33,-23,20
-36,-26,29
-30,-30,36
-19,-25,48
-20,-29,44
-16,-24,41
-18,-24,37
-30,-34,35
-37,-31,30
-33,-40,27
-36,-47,33
-32,-76,60
-24,-88,66
-30,-89,49
-35,-97,43
-43,-95,37
-38,-81,26
-20,-67,23
-11,-51,23
-13,-50,22
-21,-49,21
-24,-47,19
-28,-46,18
-26,-44,18
-21,-39,17
-20,-37,16
-21,-37,16
-21,-38,16
-25,-44,21
-30,-49,23
-28,-56,24
-23,-61,24
-18,-79,29
-17,-79,35
-19,-79,48
-19,-76,52
-21,-68,46
-17,-44,28
-11,-41,25
-5,-42,21
-6,-44,22
-14,-54,24
-18,-55,25
-23,-49,24
-25,-44,24
-28,-41,25
-27,-43,27
-24,-45,30
-21,-46,32
-18,-50,35
-17,-52,35
-14,-60,34
-14,-75,35
-18,-112,45
-20,-105,41
-20,-85,29
-17,-67,23
-17,-62,25
-26,-49,23
-29,-44,20
-31,-37,16
-33,-37,16
-36,-39,17
-38,-42,18
-37,-44,22
-36,-45,24
-32,-46,24
-30,-45,24
-26,-43,26
-25,-43,27
-24,-45,29
-23,-46,29
-22,-47,30
-18,-49,29
-17,-54,27
-15,-65,39
-14,-68,44
-14,-69,41
-15,-71,38
-12,-65,39
-11,-57,37
-7,-45,29
-7,-43,25
-11,-47,24
-14,-49,25
-21,-49,27
-24,-49,28
-26,-44,28
-25,-42,29
-23,-43,32
-22,-45,34
-18,-52,37
-15,-58,33
-15,-68,30
-22,-100,43
-24,-100,46
-24,-86,32
-21,-78,28
-16,-61,24
-17,-54,23
-23,-44,20
-27,-42,19
-33,-42,16
-34,-44,17
-36,-49,23
-36,-49,24
-36,-47,27
-37,-46,28
-33,-45,26
-29,-43,25
-28,-42,26
-26,-42,28
-26,-42,28
-25,-46,27
-24,-48,29
-21,-52,31
-18,-58,28
-15,-71,31
-15,-73,37
-17,-65,43
-17,-63,42
-15,-60,37
-13,-53,34
-8,-42,27
-5,-42,25
-7,-47,24
-10,-52,25
-19,-55,27
-24,-52,28
-25,-48,28
-25,-44,29
-24,-44,30
-22,-45,31
-20,-46,32
-18,-49,36
-18,-51,36
-19,-55,36
-19,-57,36
-25,-87,40
-28,-110,49
-23,-92,39
-19,-83,31
-12,-66,26
-13,-64,25
-22,-53,24
-30,-46,19
-30,-45,17
-32,-45,14
-32,-47,14
-33,-49,13
-33,-50,13
-32,-49,13
-31,-51,14
-29,-50,15
-29,-48,15
-30,-49,16
-30,-52,17
-26,-55,19
-24,-57,21
-21,-61,24
-17,-62,26
-10,-70,28
-9,-73,35
-11,-59,48
-12,-51,45
-7,-51,40
-9,-53,39
-10,-50,37
-10,-46,33
-10,-49,31
-18,-57,29
-24,-63,28
-28,-60,27
-27,-58,27
-24,-53,30
-23,-52,31
-22,-52,30
-20,-51,30
-17,-49,30
-17,-48,31
-18,-49,31
-19,-49,30
-25,-50,29
-29,-58,30
-37,-93,38
-32,-86,33
-24,-80,26
-21,-77,26
-24,-73,28
-30,-60,22
-31,-54,19
-35,-45,12
-34,-42,10
-36,-41,6
-37,-44,6
-37,-49,8
-35,-50,9
-32,-51,10
-30,-50,10
-26,-51,13
-25,-53,14
-27,-56,16
-28,-56,20
-29,-56,23
-24,-75,25
-22,-75,32
-16,-64,46
-12,-63,47
-7,-62,45
-3,-54,46
2,-44,42
-2,-41,37
-9,-42,31
-9,-46,34
-17,-52,31
-21,-52,27
-24,-50,24
-26,-50,28
-26,-51,31
-26,-51,32
-23,-51,33
-18,-56,35
-16,-58,35
-15,-60,40
-15,-59,38
-21,-75,32
-26,-89,36
-32,-87,39
-30,-83,36
-24,-74,32
-24,-69,29
-23,-56,29
-23,-49,27
-22,-35,21
-21,-32,17
-22,-31,16
-26,-32,19
-34,-36,20
-33,-43,16
-33,-48,16
-23,-54,20
-18,-53,21
-12,-53,23
-13,-55,24
-21,-60,23
-25,-63,23
-26,-63,28
-24,-64,31
-14,-76,32
-8,-78,32
-2,-67,41
-3,-61,43
-10,-56,40
-15,-51,38
-16,-41,33
-14,-37,29
-8,-38,27
-10,-46,30
-13,-51,31
-24,-52,28
-24,-48,29
-23,-43,32
-22,-43,33
-24,-44,37
-23,-45,39
-20,-47,39
-20,-48,39
-21,-54,39
-21,-64,39
-30,-104,48
-28,-105,51
-18,-87,40
-14,-80,37
-20,-70,29
-26,-64,27
-32,-50,20
-32,-47,17
-28,-41,18
-29,-40,17
-31,-41,15
-29,-40,14
-29,-40,15
-26,-39,15
-26,-40,15
-24,-40,16
-27,-41,14
-28,-47,15
-28,-50,18
-24,-57,19
-21,-57,21
-16,-78,24
-16,-82,29
-18,-74,39
-17,-72,43
-15,-79,46
-9,-64,42
-8,-54,37
-5,-44,32
-6,-45,30
-15,-47,25
-19,-49,23
-24,-53,22
-23,-52,21
-17,-46,23
-16,-45,24
-30,-44,29
-37,-42,25
-29,-49,27
-25,-52,30
-18,-54,36
-18,-57,33
-17,-85,40
-23,-104,45
-20,-90,45
-13,-72,30
-16,-71,29
-24,-65,27
-27,-59,25
-30,-51,21
-32,-48,18
-36,-47,13
-37,-47,12
-39,-47,11
-39,-47,10
-36,-46,9
-36,-44,8
-36,-39,7
-37,-38,7
-39,-42,13
-40,-46,16
-40,-50,22
-32,-55,28
-25,-60,30
-14,-61,43
-9,-63,51
2,-61,51
2,-62,48
-1,-55,45
-3,-49,41
-8,-43,35
-12,-42,31
-17,-42,26
-19,-45,25
-23,-47,26
-24,-47,28
-23,-46,28
-23,-46,28
-22,-50,31
-20,-50,32
-16,-51,34
-13,-54,36
-13,-55,37
-15,-58,36
-16,-62,35
-23,-90,39
-25,-97,43
-24,-77,33
-24,-72,27
-22,-62,24
-24,-59,24
-28,-53,21
-29,-50,18
-30,-47,17
-31,-47,17
-37,-49,15
-37,-51,16
-35,-53,19
-33,-50,15
-34,-49,15
-33,-49,16
-34,-50,17
-32,-53,19
-32,-57,21
-27,-60,26
-24,-61,28
-13,-68,25
-11,-69,28
-12,-65,39
-13,-60,39
-14,-58,33
-15,-58,35
-8,-53,40
-5,-48,38
-8,-44,29
-10,-45,26
-15,-49,24
-19,-50,24
-26,-49,23
-33,-45,23
-31,-44,26
-28,-43,28
-26,-43,30
-22,-47,37
-24,-49,38
-29,-53,38
-30,-55,37
-33,-72,36
-34,-90,42
-36,-98,47
-28,-89,42
-14,-69,26
-13,-64,27
-22,-59,37
-28,-53,31
-33,-41,19
-36,-37,15
-40,-36,14
-39,-38,13
-38,-37,12
-34,-36,11
-32,-36,9
-33,-37,9
-32,-38,10
-29,-40,12
-29,-42,15
-29,-48,22
-29,-51,23
-24,-60,28
-20,-65,29
-17,-85,34
-15,-85,39
-12,-72,47
-11,-69,50
-18,-67,43
-18,-45,29
-12,-42,31
