,x,y,z
0,1,69,25
1,6,75,34
2,13,64,30
3,12,62,26
4,-3,87,20
5,-15,108,18
6,-37,113,15
7,-43,96,18
8,-30,86,2
9,-26,81,-3
10,-23,70,-7
11,-24,60,-7
12,-26,40,-4
13,-27,38,-3
14,-30,45,-1
15,-31,46,-3
16,-36,46,1
17,-45,52,8
18,-58,60,11
19,-60,63,9
20,-48,72,4
21,-45,65,3
22,-40,54,5
23,-38,55,1
24,-36,65,-4
25,-37,94,-14
26,-41,112,-15
27,-34,108,-12
28,-28,100,-16
29,-14,89,-8
30,-14,82,-1
31,-17,62,10
32,-14,51,15
33,-8,36,16
34,-4,34,14
35,-2,39,15
36,-10,49,17
37,3,63,20
38,3,64,20
39,-10,72,19
40,-9,72,16
41,-12,65,18
42,-22,62,17
43,-26,71,22
44,-39,95,35
45,-33,103,26
46,-21,83,18
47,-17,73,23
48,-14,76,-5
49,-30,44,10
50,-33,59,0
51,-40,61,-3
52,-27,45,2
53,-18,40,2
54,-14,40,-5
55,-16,41,-6
56,-23,53,-5
57,-54,73,5
58,-62,83,4
59,-69,78,-10
60,-55,65,5
61,-45,50,-3
62,-42,52,-5
63,-34,63,-9
64,-35,75,-13
65,-28,95,-15
66,-27,92,-13
67,-21,81,-5
68,-14,77,0
69,-5,65,2
70,-2,56,2
71,-3,47,7
72,-6,46,10
73,-11,47,6
74,-10,45,6
75,-10,48,5
76,-13,69,9
77,-14,80,19
78,-13,89,21
79,-7,85,22
80,9,61,28
81,12,56,26
82,-1,79,21
83,-8,89,19
84,-13,85,11
85,-17,77,8
86,-24,69,8
87,-28,61,-1
88,-28,47,8
89,-26,50,0
90,-27,49,-1
91,-21,46,1
92,-16,53,-2
93,-31,63,2
94,-37,62,8
95,-46,62,13
96,-49,62,12
97,-50,70,3
98,-35,69,4
99,-31,54,2
100,-37,57,2
101,-41,74,-1
102,-40,82,-5
103,-31,92,-14
104,-26,92,-13
105,-18,83,-7
106,-15,78,-3
107,-12,64,12
108,-13,59,12
109,-14,63,13
110,-1,60,16
111,7,45,15
112,7,39,17
113,3,42,18
114,-4,50,20
115,-4,57,18
116,-5,78,15
117,-7,89,13
118,-13,111,4
119,-16,104,5
120,-25,68,15
121,-24,59,20
122,-16,60,15
123,-13,69,10
124,-11,82,7
125,-11,75,4
126,-12,57,1
127,-14,52,1
128,-17,47,3
129,-17,48,1
130,-17,48,1
131,-17,48,2
132,-16,50,5
133,-9,69,7
134,-9,78,-34
135,-51,79,-40
136,-73,69,-30
137,-86,68,-11
138,-60,64,-10
139,-58,45,-17
140,-56,38,-22
141,-41,50,-27
142,-34,63,-27
143,-34,98,-32
144,-39,95,-22
145,-40,77,-7
146,-38,73,-10
147,-39,68,-8
148,-18,68,1
149,-14,61,2
150,-11,54,16
151,-7,53,15
152,-12,55,17
153,-12,55,19
154,-14,53,18
155,-13,52,16
156,-8,51,14
157,-8,55,16
158,-9,72,13
159,-9,75,12
160,-16,63,18
161,-23,65,23
162,-28,82,27
163,-32,88,28
164,-20,77,27
165,-16,73,24
166,-15,61,14
167,-27,50,9
168,-36,48,9
169,-30,40,8
170,-26,37,7
171,-22,36,5
172,-26,36,5
173,-31,53,3
174,-32,65,2
175,-30,81,4
176,-36,83,13
177,-33,96,18
178,-34,84,22
179,-38,49,27
180,-22,58,12
181,-16,63,3
182,-14,66,-2
183,-11,69,-2
184,-12,73,-7
185,-13,65,-1
186,-18,61,1
187,-18,59,0
188,-16,48,1
189,-13,45,1
190,-17,44,4
191,-23,45,6
192,-16,56,3
193,-9,63,1
194,-4,82,-1
195,-6,90,-2
196,-9,88,-1
197,-12,86,-1
198,-23,68,8
199,-32,52,27
200,-31,42,62
201,-7,50,48
202,-1,71,20
203,-16,70,17
204,-17,69,17
205,-17,64,14
206,-13,59,13
207,-14,52,12
208,-14,48,10
209,-17,42,6
210,-18,39,4
211,-20,33,1
212,-19,35,3
213,-24,54,2
214,-29,59,1
215,-34,74,7
216,-41,87,13
217,-58,101,26
218,-59,77,20
219,-19,39,16
220,-8,66,8
221,-23,70,9
222,-26,87,2
223,-22,84,2
224,-13,60,3
225,-11,54,1
226,-11,46,5
227,-15,42,11
228,-15,39,10
229,-14,40,9
230,-10,49,10
231,-8,58,8
232,-10,80,2
233,-11,83,-1
234,-14,84,2
235,-13,90,3
236,-18,84,0
237,-19,71,7
238,-20,41,16
239,-21,43,23
240,-20,54,23
241,-21,70,18
242,-18,71,14
243,-12,51,11
244,-15,50,12
245,-25,61,11
246,-26,60,11
247,-31,56,13
248,-35,52,15
249,-30,44,15
250,-25,43,14
251,-24,49,13
252,-24,53,12
253,-22,55,12
254,-20,55,10
255,-18,65,8
256,-30,92,8
257,-29,91,6
258,-32,39,16
259,-30,42,15
260,-15,70,2
261,-11,73,0
262,-16,86,0
263,-17,87,2
264,-18,69,17
265,-14,65,19
266,-11,57,12
267,-7,50,12
268,-3,46,13
269,-5,47,13
270,-8,51,12
271,-9,53,9
272,-11,57,6
273,-12,57,6
274,-14,62,5
275,-15,76,1
276,-16,82,-1
