x,y,z
-12,71,14
-9,78,11
-7,76,11
-10,71,14
-15,73,17
-16,71,15
-22,85,12
-19,78,11
-15,57,14
-16,48,16
-16,47,16
-15,48,13
-19,52,10
-16,61,11
-13,59,11
-11,52,14
-14,52,15
-18,67,16
-14,70,16
-14,70,16
-18,72,17
-13,78,16
-13,71,13
-25,89,14
-26,95,15
-21,75,6
-22,77,5
-23,94,6
-18,97,4
-21,81,0
-20,79,-1
-16,74,1
-17,66,-1
-17,65,-2
-15,62,-2
-14,59,-1
-13,54,0
-13,49,3
-13,45,8
-13,43,6
-13,41,6
-16,40,9
-17,46,17
-15,46,20
-17,56,18
-14,73,13
-8,78,17
-9,71,20
-18,72,19
-19,72,17
-23,81,13
-22,72,13
-20,68,13
-18,63,19
-19,61,21
-22,56,17
-23,56,15
-27,58,16
-26,57,18
-25,58,19
-27,60,18
-16,67,29
-11,63,28
-16,60,19
-15,69,19
-11,74,21
-5,71,23
-12,67,19
-30,72,7
-43,88,6
-37,77,12
-30,73,10
-23,74,10
-19,78,11
-16,84,13
-16,83,11
-17,72,5
-17,66,3
-17,62,0
-17,59,-2
-19,57,-3
-18,54,0
-5,49,9
1,42,3
-15,42,12
-7,40,17
-12,38,15
-15,44,14
-14,48,9
-16,67,11
-15,71,14
-18,86,9
-12,106,8
-6,87,10
-13,87,9
-34,73,12
-22,75,13
-19,74,19
-7,70,20
0,56,18
-6,56,17
-11,57,15
-9,53,14
-13,55,17
-5,61,18
-5,59,14
-13,62,9
-14,62,8
-8,63,11
-7,62,13
-12,59,10
-11,59,10
-9,64,16
-9,69,14
-18,70,8
-19,70,9
-18,67,11
-26,82,11
-29,83,13
-28,75,13
-23,67,11
-23,73,9
-23,78,9
-19,76,8
-19,73,6
-18,69,4
-17,67,3
-13,62,1
-17,63,-3
-14,61,5
-12,58,2
-15,54,2
-13,51,7
-17,48,13
-14,45,13
-16,42,16
-15,42,17
-20,51,18
-15,54,17
-22,63,10
-21,69,11
-14,77,12
-5,95,17
-9,81,18
-21,72,16
-23,69,13
-30,65,13
-25,69,16
-16,66,16
-15,60,15
-18,51,14
-19,51,13
-22,48,10
-19,50,13
-13,56,19
-14,58,17
-21,58,18
-18,65,20
-17,66,15
-18,69,13
-6,68,20
-14,69,11
-23,67,13
-14,67,10
-20,61,6
-24,68,8
-34,85,8
-33,74,12
-29,65,12
-18,65,7
-14,74,10
-16,89,17
-15,87,16
-15,72,7
-16,66,5
-15,60,4
-18,58,0
-17,57,2
-14,55,7
-12,53,10
-16,46,13
-17,44,15
-11,45,20
-10,42,22
-11,42,24
-11,46,23
-14,56,18
-16,58,17
-16,67,15
-18,75,11
-18,103,9
-19,93,12
-28,74,11
-30,69,6
-30,71,4
-29,69,6
-25,64,7
-21,55,9
-21,53,12
-19,51,13
-19,51,12
-21,57,16
-15,62,25
24,59,38
-5,60,19
-41,61,10
-33,63,13
-26,63,12
-20,65,14
-20,69,19
-22,71,17
-15,67,14
-18,65,13
-26,68,8
-37,88,12
-27,78,16
-21,69,6
-22,68,-7
11,78,7
32,79,27
5,86,21
-12,76,10
-21,65,3
-22,63,1
-23,60,-1
-22,60,-2
-17,57,-1
-17,54,0
-16,47,7
-17,45,7
-18,43,11
