x,y,z
-19,-63,24
-19,-61,26
-23,-63,26
-23,-63,24
-22,-61,27
-19,-60,26
-17,-60,25
-16,-61,24
-17,-57,21
-19,-57,20
-18,-60,20
-17,-63,20
-14,-61,19
-13,-61,19
-12,-62,22
-13,-57,25
-12,-53,27
-8,-56,26
-7,-58,24
-7,-63,24
-7,-64,26
-7,-57,25
-8,-53,24
-11,-50,24
-11,-48,25
-7,-44,26
-6,-45,28
-7,-50,30
-7,-49,30
-10,-54,29
-11,-57,29
-12,-57,29
-11,-58,28
-11,-80,23
-13,-81,22
-20,-63,22
-20,-56,20
-20,-54,21
-23,-63,21
-20,-64,19
-16,-71,19
-15,-68,22
-10,-62,21
-11,-63,21
-15,-63,25
-15,-65,24
-16,-63,23
-17,-60,25
-15,-57,25
-15,-56,23
-18,-53,25
-18,-56,23
-17,-59,23
-16,-61,25
-14,-64,24
-10,-58,21
-10,-62,20
-10,-64,21
-11,-63,21
-9,-62,24
-8,-54,22
-14,-39,24
-18,-46,25
-12,-61,24
-11,-63,24
-10,-65,28
-9,-65,32
-7,-55,31
-8,-51,29
-11,-51,27
-8,-50,28
-4,-49,30
-8,-45,31
-10,-44,31
-11,-44,30
-11,-49,30
-12,-59,31
-10,-60,30
-7,-72,26
-8,-80,26
-14,-73,23
-19,-74,24
-17,-58,23
-15,-52,19
-21,-62,12
-24,-67,15
-19,-65,15
-17,-59,13
-16,-54,10
-22,-61,13
-24,-63,13
-21,-64,14
-20,-65,16
-19,-65,21
-15,-66,22
-6,-62,22
-3,-63,21
-5,-65,20
-8,-63,20
-9,-63,19
-10,-66,17
-13,-67,14
-14,-67,14
-16,-71,17
-15,-69,19
-13,-58,23
-12,-54,21
-10,-57,18
-12,-62,22
-10,-64,23
-7,-55,25
-9,-50,27
-12,-45,26
-14,-44,28
-13,-47,27
-10,-47,27
-11,-53,27
-12,-50,30
-9,-51,31
-11,-49,29
-19,-45,38
-23,-44,35
-46,-37,48
-84,-49,56
-78,-83,35
-61,-98,22
-29,-109,12
42,-93,6
66,-67,17
4,-50,28
-7,-57,29
-20,-65,2
-13,-64,0
-4,-55,7
-6,-54,6
-6,-53,15
-6,-49,16
-7,-42,20
-15,-44,27
-12,-47,33
-8,-43,35
-10,-55,36
-11,-59,36
-11,-60,39
-9,-63,41
-9,-63,38
-9,-68,33
-12,-66,33
-12,-71,26
-12,-74,26
-18,-52,31
-20,-42,31
-17,-44,24
-17,-49,24
-14,-53,28
-12,-51,29
-11,-53,30
-11,-52,33
-14,-48,33
-14,-48,33
-12,-47,32
-9,-48,32
-7,-48,32
-12,-43,35
-13,-44,35
-11,-52,33
-11,-57,33
-14,-58,36
-12,-71,31
-14,-86,30
-18,-79,30
-22,-70,32
-22,-60,33
-19,-55,26
-19,-60,23
-16,-68,21
-13,-67,22
-9,-58,23
-10,-58,23
-15,-54,25
-15,-54,25
-16,-52,22
-13,-56,21
-14,-56,21
-13,-53,23
-12,-54,24
-12,-60,21
-12,-63,20
-13,-63,18
-13,-63,21
-12,-76,20
-10,-75,21
-10,-72,22
-10,-70,21
-13,-52,27
-14,-44,28
-12,-58,22
-11,-60,21
-12,-61,25
-10,-60,28
-9,-54,30
-11,-49,29
-11,-48,29
-8,-49,28
-7,-50,28
-9,-48,27
-11,-49,28
-11,-45,31
-13,-44,31
-14,-51,32
-14,-58,31
-14,-60,29
-16,-59,32
-17,-77,35
-13,-80,33
-13,-77,32
-13,-76,33
-13,-53,25
-17,-61,18
-19,-64,17
-22,-71,19
-19,-69,20
-13,-61,16
-13,-57,13
-18,-54,13
-21,-55,16
-19,-57,17
-18,-58,19
-20,-56,24
-20,-56,23
-19,-58,25
-19,-60,23
-17,-64,24
-17,-67,25
-12,-72,25
-9,-68,22
-7,-73,21
-10,-68,23
-11,-65,23
-11,-51,27
-10,-49,26
-6,-53,23
-6,-53,24
-7,-50,30
-7,-50,30
-4,-42,28
-3,-40,27
-7,-42,28
-8,-45,30
-3,-50,28
-3,-52,25
-13,-50,30
-18,-48,38
-12,-49,37
-6,-69,31
-10,-71,31
-17,-65,37
-13,-74,40
-5,-83,38
-6,-75,36
-9,-74,37
-8,-65,37
-9,-44,26
-11,-55,23
-20,-64,19
-23,-66,18
-23,-66,17
-22,-62,19
-21,-61,24
-20,-60,22
-23,-55,15
-23,-58,14
-19,-58,17
-15,-60,21
-16,-59,22
-16,-62,21
-17,-64,21
-14,-68,18
-10,-69,18
-5,-69,22
-3,-68,22
-4,-60,25
-8,-60,28
-9,-47,35
-6,-46,32
4,-52,24
3,-50,24
-5,-54,27
-4,-53,30
-4,-48,31
-4,-46,30
-4,-51,29
-2,-52,25
-3,-52,25
-12,-55,29
-15,-55,32
-18,-54,36
-16,-53,37
-12,-61,42
-9,-65,44
-1,-62,40
-3,-57,33
-15,-79,34
-20,-88,39
-12,-63,38
-10,-56,35
-13,-49,26
-16,-57,20
-26,-63,11
-31,-65,10
-30,-70,11
-24,-66,16
-21,-64,16
-21,-67,10
-22,-68,10
-19,-70,11
-17,-69,14
-14,-69,19
-14,-68,21
-11,-65,25
-11,-64,24
-7,-66,23
-5,-67,23
-1,-69,26
0,-67,28
3,-59,24
1,-58,23
-4,-57,29
-3,-52,26
-2,-49,26
-4,-44,27
-4,-48,26
-5,-54,23
-7,-57,23
-10,-62,26
-9,-59,28
-10,-58,28
-9,-59,27
-11,-58,26
-12,-60,28
-11,-55,30
-13,-52,31
-16,-49,36
-19,-54,38
-16,-68,39
-14,-67,40
-12,-54,35
-18,-66,34
-20,-69,33
-21,-68,23
-20,-70,23
-21,-51,26
-22,-47,23
-29,-63,14
-32,-70,13
-22,-85,14
-15,-80,13
-4,-70,14
-5,-64,15
-16,-63,17
-18,-64,18
-14,-59,17
-14,-58,18
-11,-59,22
-8,-58,24
-6,-56,23
-5,-61,22
-4,-62,22
-7,-57,24
-9,-59,24
-6,-67,21
-5,-71,24
-6,-65,25
-7,-60,24
-10,-49,28
-10,-52,26
-5,-56,17
-6,-61,18
-12,-62,27
-14,-58,30
-10,-55,29
-6,-54,27
-6,-51,23
-10,-53,25
-11,-54,25
-15,-51,26
-18,-46,31
-19,-49,38
-16,-58,40
-10,-64,41
-7,-61,37
-9,-75,29
-13,-76,29
-24,-69,24
-27,-70,24
-26,-55,22
-26,-57,18
-29,-63,14
-29,-68,13
-22,-71,13
-18,-66,14
-17,-65,17
-18,-65,17
-17,-68,16
-14,-64,15
-13,-65,14
-10,-67,14
-11,-65,15
-14,-62,18
-14,-64,17
-12,-69,13
-10,-71,14
-9,-66,20
-8,-67,19
-6,-64,23
-7,-60,25
-7,-54,25
-7,-48,26
-4,-52,23
-5,-56,20
-7,-60,21
-12,-61,27
-12,-57,29
-10,-49,29
-8,-49,27
-7,-54,25
-7,-56,25
-11,-52,26
-14,-49,30
-16,-43,38
-14,-49,40
-9,-67,40
-8,-56,37
-9,-52,31
-10,-61,28
-18,-82,30
-22,-71,27
-28,-72,23
-27,-57,23
-27,-58,21
-29,-66,15
-25,-69,14
-17,-72,15
-14,-70,15
-12,-65,19
-15,-64,18
-18,-62,16
-19,-60,17
-18,-59,15
-17,-57,17
-16,-57,20
-14,-57,19
-15,-61,17
-16,-65,17
-15,-68,19
-14,-70,21
-11,-75,21
-10,-79,23
-10,-73,23
-8,-60,26
-9,-44,31
-5,-45,26
-3,-48,23
-7,-49,22
-9,-50,24
-9,-49,29
-8,-47,30
-6,-46,29
-7,-48,27
-8,-52,25
-9,-51,27
-10,-55,28
-10,-56,29
-9,-52,31
-14,-56,34
-15,-67,37
-9,-65,40
-6,-61,37
-4,-60,29
-7,-63,27
-16,-75,28
-18,-73,31
-14,-63,29
-11,-55,25
-13,-50,17
-17,-59,16
-25,-68,17
-22,-74,18
-18,-71,17
-15,-67,17
-13,-61,18
-16,-60,15
-21,-60,13
-21,-60,19
-19,-59,19
-15,-59,22
-13,-57,25
-14,-55,25
-14,-55,25
-12,-58,25
-10,-58,25
-7,-59,28
-6,-63,28
-1,-68,24
-1,-67,25
-8,-65,25
-8,-62,28
-7,-48,30
-7,-45,28
-7,-57,22
-9,-60,25
-7,-63,27
-7,-53,31
-8,-49,32
-9,-47,31
-7,-47,31
-3,-48,30
-5,-47,29
-10,-42,34
-9,-42,36
-6,-53,32
-7,-59,36
-6,-64,35
-8,-69,31
-13,-82,27
-17,-77,26
-26,-72,28
-26,-64,28
-20,-53,19
-21,-63,14
-24,-65,14
-22,-63,21
-17,-63,20
-9,-63,20
-9,-64,22
-14,-60,22
-15,-59,22
-16,-63,22
-14,-63,21
-14,-62,23
-13,-63,23
-11,-64,20
-11,-66,19
-10,-69,17
-10,-68,17
-10,-68,19
-10,-68,19
-11,-64,21
-11,-62,24
-11,-56,25
-8,-42,29
-5,-45,27
-1,-53,23
-4,-54,22
-8,-61,24
-9,-57,27
-7,-50,28
-7,-49,27
-7,-51,24
-7,-53,23
-9,-50,24
-11,-50,26
-10,-50,29
-9,-47,30
-10,-52,35
-11,-59,31
-12,-57,30
-14,-70,29
-15,-87,28
-20,-80,26
-21,-76,25
-16,-54,25
-15,-55,20
-19,-69,17
-23,-73,17
-14,-72,17
-11,-70,16
-10,-62,16
-13,-57,15
-17,-58,13
-16,-58,15
-11,-60,13
-10,-60,14
-10,-58,20
-9,-57,22
-7,-60,19
-9,-63,22
-9,-64,23
-4,-69,20
5,-84,13
-5,-60,17
-27,-73,20
-22,-62,23
-22,-57,26
-17,-45,26
-17,-57,20
-17,-60,16
-17,-62,21
-15,-60,31
-16,-56,31
-15,-52,25
-15,-49,25
-14,-49,25
-11,-47,27
-10,-48,29
-12,-49,33
-14,-44,34
-15,-45,38
-15,-52,39
-17,-58,39
-17,-61,41
-15,-61,38
-15,-66,33
-16,-80,29
-19,-78,34
-17,-63,37
-13,-51,32
-14,-43,22
-17,-51,22
-20,-59,24
-19,-61,25
-19,-59,25
-17,-52,25
-19,-49,23
-19,-49,24
-15,-50,23
-10,-50,25
-9,-51,27
-9,-55,29
-9,-63,26
-11,-72,23
-11,-71,24
-10,-74,24
-7,-76,21
-10,-72,26
-12,-70,28
-9,-58,29
-8,-47,28
-4,-52,24
-5,-58,21
-5,-59,20
-8,-57,26
-10,-52,28
-9,-41,27
-8,-41,26
-5,-46,25
-5,-46,25
-7,-51,28
-7,-52,30
-6,-47,34
-7,-46,35
-9,-54,38
-9,-58,39
-9,-65,36
-11,-61,37
-8,-66,37
-10,-82,31
-15,-78,30
-23,-68,29
-23,-56,28
-25,-53,19
-27,-62,18
-26,-71,15
-22,-76,14
-15,-73,17
-11,-67,20
-15,-62,23
-20,-61,23
-20,-64,19
-21,-61,20
-22,-59,23
-20,-60,24
-18,-53,28
-18,-47,27
-20,-55,23
-18,-51,24
-18,-52,22
-15,-58,22
-14,-63,22
-15,-74,22
-15,-77,26
-10,-64,36
-4,-50,43
8,-41,34
8,-47,27
-3,-53,21
-8,-55,21
-9,-54,25
-9,-48,33
-9,-45,31
-10,-45,29
-7,-45,25
-7,-49,24
-7,-51,25
-10,-51,32
-11,-48,37
-9,-61,41
-8,-66,41
-4,-62,41
-6,-64,37
-13,-86,36
-17,-75,38
-17,-68,30
-15,-66,28
-17,-55,23
-20,-55,19
-27,-66,16
-26,-70,16
-22,-63,17
-22,-61,17
-19,-64,15
